Name,Description,Subscription Type,Bundled Plan Indicator,Minimum Recharge/Monthly Recurring Amount,Free Voice Minutes,Free SMS,Free Data (GB),Validity (Days),Data Speed (Mbps),Value Added Services,Bundled OTT Content,plan_feature
Basic Saver,A budget-friendly prepaid plan offering essential features for light users; Includes 100 free voice minutes; 50 SMS; and 1 GB data for 28 days at a speed of 4 Mbps; Ideal for minimal usage.,Prepaid,No,99,100,50,1,28,4,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'low', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Daily Data Delight,A prepaid plan for data enthusiasts; Includes 500 free voice minutes; 100 SMS; and 2 GB daily data with 28-day validity and speeds up to 10 Mbps; Perfect for heavy data usage.,Prepaid,No,249,500,100,56,28,10,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Streaming Starter,A bundled prepaid plan with 1-month Disney Hotstar subscription; Offers 300 voice minutes; 100 SMS; and 3 GB data daily at speeds of 10 Mbps with a 28-day validity.,Prepaid,Yes,399,300,100,84,28,10,,Disney Hotstar,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Value Voice,Affordable prepaid plan for voice-focused users; Provides 1000 voice minutes; 50 SMS; and 500 MB data at speeds of 4 Mbps with a 28-day validity.,Prepaid,No,149,1000,50,0.5,28,4,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'high', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Max Connect Pro,A premium bundled prepaid plan offering Netflix for 3 months; 1000 voice minutes; 500 SMS; and 4 GB data daily at speeds up to 25 Mbps with a 90-day validity.,Prepaid,Yes,999,1000,500,360,90,25,International Roaming; ISD Calling,Netflix,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Smart Flex,Flexible prepaid plan for students; Includes 200 voice minutes; 500 SMS; and 10 GB data with 90-day validity at speeds of 6 Mbps; Ideal for study and connectivity.,Prepaid,No,299,200,500,10,90,6,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'low', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Weekend Data Max,A prepaid plan for weekend bingeing; Offers 10 GB data every weekend; 100 voice minutes; and 100 SMS; valid for 30 days at 10 Mbps.,Prepaid,No,299,100,100,40,30,10,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'low', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Ultimate Entertainment,A bundled prepaid plan offering Amazon Prime for 30 days; Includes 500 voice minutes; 100 SMS; and 2 GB daily data with 28-day validity at speeds of 15 Mbps.,Prepaid,Yes,499,500,100,56,28,15,,Amazon Prime,"{'Data_Usage': 'medium', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Travelerâ€™s Delight,Prepaid plan for travelers; Includes 500 free voice minutes; 100 SMS; 15 GB data at 20 Mbps with a 14-day validity; Offers international roaming.,Prepaid,No,599,500,100,15,14,20,International Roaming,None,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'high', 'OTT_Usage': 'low'}"
Super Saver Plus,Bundled prepaid plan with Times Prime for 3 months; Offers 200 voice minutes; 300 SMS; and 30 GB data at speeds of 20 Mbps with 60-day validity.,Prepaid,Yes,699,200,300,30,60,20,,Times Prime,"{'Data_Usage': 'medium', 'Voice_Usage': 'low', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Essential Monthly,Simple postpaid plan with 500 voice minutes; 100 SMS; and 5 GB data at speeds of 15 Mbps for a monthly fee of 199; Perfect for moderate usage.,Postpaid,No,199,500,100,5,30,15,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Data Power 50GB,Postpaid plan for high data users; Offers 300 free voice minutes; 200 SMS; and 50 GB data monthly at speeds up to 20 Mbps; Great for streaming and remote work.,Postpaid,No,499,300,200,50,30,20,,None,"{'Data_Usage': 'medium', 'Voice_Usage': 'low', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Elite Entertainment,A premium postpaid bundled plan with Amazon Prime; Includes unlimited voice minutes; 500 SMS; 100 GB data monthly at speeds up to 50 Mbps; Perfect for streaming lovers.,Postpaid,Yes,1299,Unlimited,500,100,30,50,International Roaming; ISD Calling,Amazon Prime,"{'Data_Usage': 'medium', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Family Plus Pack,Postpaid family plan for up to 3 users; Includes 1500 shared voice minutes; 1000 SMS; and 200 GB shared data at 30 Mbps; Comes with a 3-month Disney Hotstar subscription.,Postpaid,Yes,1999,1500,1000,200,30,30,,Disney Hotstar,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
Unlimited Bliss,The ultimate postpaid bundled plan with Netflix and Amazon Prime; Offers unlimited voice; 2000 SMS; and truly unlimited data at speeds up to 100 Mbps.,Postpaid,Yes,2999,Unlimited,2000,Unlimited,30,100,International Roaming; ISD Calling,Netflix; Amazon Prime,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'high', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'high'}"
Youth Connect,Affordable postpaid plan for young professionals; Includes 300 voice minutes; 100 SMS; and 10 GB data monthly at 15 Mbps speeds.,Postpaid,No,399,300,100,10,30,15,,None,"{'Data_Usage': 'low', 'Voice_Usage': 'medium', 'SMS_Usage': 'low', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
Global Roam Plus,Postpaid plan for international travelers; Offers 1000 voice minutes; 500 SMS; 25 GB data at 50 Mbps with international roaming.,Postpaid,No,1499,1000,500,25,30,50,International Roaming,None,"{'Data_Usage': 'medium', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'high', 'OTT_Usage': 'low'}"
Power Productivity,Postpaid plan tailored for professionals; Offers 1000 voice minutes; 300 SMS; and 200 GB data monthly at speeds up to 40 Mbps.,Postpaid,No,999,1000,300,200,30,40,,None,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'medium', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'low'}"
OTT Ultimate Plus,A bundled postpaid plan with Netflix; Disney Hotstar; and Amazon Prime; Includes unlimited voice minutes; 1500 SMS; 300 GB data at 100 Mbps for 30 days.,Postpaid,Yes,3999,Unlimited,1500,300,30,100,International Roaming; ISD Calling,Netflix; Disney Hotstar; Amazon Prime,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'high', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'high'}"
Super Stream Family,Postpaid family plan for up to 4 users; Includes unlimited voice; 2000 SMS; 500 GB shared data at 60 Mbps with Disney Hotstar for 6 months.,Postpaid,Yes,4999,Unlimited,2000,500,30,60,,Disney Hotstar,"{'Data_Usage': 'high', 'Voice_Usage': 'high', 'SMS_Usage': 'high', 'International_Calling': 'low', 'International_Roaming': 'low', 'OTT_Usage': 'medium'}"
